,num,lon,lat,latlon,notes,location,spininital,spinfinish,runs,x,y,umw
92,92,-83.25,38.25,lat38.25lon-83.25,1.5-degree,geo,7-Jun-16,9-Jun-16,13-Jun-16,0.9998791379,0.1877009606,n
93,93,-81.75,38.25,lat38.25lon-81.75,1.5-degree,geo,7-Jun-16,9-Jun-16,16-Jun-16,1.1319131612,0.188930712,n
94,94,-80.25,38.25,lat38.25lon-80.25,1.5-degree,geo,7-Jun-16,12-Jun-16,16-Jun-16,1.2639012473,0.1926240487,n
95,95,-78.75,38.25,lat38.25lon-78.75,1.5-degree,geo,14-Jun-16,18-Jun-16,28-Jun-16,1.3957974328,0.1987796844,n
96,96,-75.75,38.25,lat38.25lon-75.75,1.5-degree,geo,15-Jun-16,18-Jun-16,27-Jun-16,1.6591304248,0.2184684217,n
97,97,-98.25,39.75,lat39.75lon-98.25,1.5-degree,geo,17-Jun-16,22-May-16,5-Jul-16,-0.2821188194,0.4735014519,n
98,98,-96.75,39.75,lat39.75lon-96.75,1.5-degree,geo,18-Jun-16,23-Jun-16,4-Jul-16,-0.155194709,0.4507589263,n
99,99,-95.25,39.75,lat39.75lon-95.25,1.5-degree,geo,18-Jun-16,23-Jun-16,3-Jul-16,-0.0278683154,0.4303888072,n
100,100,-93.75,39.75,lat39.75lon-93.75,1.5-degree,geo,18-Jun-16,21-Jun-16,2-Jul-16,0.0998160216,0.4123981884,n
101,101,-90.75,39.75,lat39.75lon-90.75,1.5-degree,geo,18-Jun-16,21-Jun-16,2-Jul-16,0.3560805579,0.3835796806,n
102,102,-89.25,39.75,lat39.75lon-89.25,1.5-degree,geo,18-Jun-16,21-Jun-16,2-Jul-16,0.4845715161,0.3727618275,n
103,103,-87.75,39.75,lat39.75lon-87.75,1.5-degree,geo,18-Jun-16,21-Jun-16,2-Jul-16,0.6132419663,0.3643435424,n
104,104,-86.25,39.75,lat39.75lon-86.25,1.5-degree,geo,18-Jun-16,21-Jun-16,2-Jul-16,0.7420471005,0.3583277571,n
105,105,-83.25,39.75,lat39.75lon-83.25,1.5-degree,geo,18-Jun-16,21-Jun-16,30-Jun-16,0.9998819701,0.353511228,n
106,106,-81.75,39.75,lat39.75lon-81.75,1.5-degree,geo,18-Jun-16,21-Jun-16,28-Jun-16,1.1288219175,0.3547121615,n
107,107,-80.25,39.75,lat39.75lon-80.25,1.5-degree,geo,25-Jun-16,4-Jul-16,10-Jul-16,1.2577170042,0.3583189487,n
108,108,-78.75,39.75,lat39.75lon-78.75,1.5-degree,geo,26-Jun-16,4-Jul-16,9-Jul-16,1.3865223438,0.3643303337,n
109,109,-75.75,39.75,lat39.75lon-75.75,1.5-degree,geo,28-Jun-16,4-Jul-16,9-Jul-16,1.6436844092,0.3835576865,n
110,110,-98.25,41.25,lat41.25lon-98.25,1.5-degree,geo,29-Jun-16,4-Jul-16,8-Jul-16,-0.2512727112,0.6368563712,n
111,111,-96.75,41.25,lat41.25lon-96.75,1.5-degree,geo,1-Jul-16,3-Jul-16,8-Jul-16,-0.1274022295,0.6146610011,n
112,112,-95.25,41.25,lat41.25lon-95.25,1.5-degree,geo,2-Jul-16,7-Jul-16,12-Jul-16,-0.003139143,0.5947809606,n
113,113,-93.75,41.25,lat41.25lon-93.75,1.5-degree,geo,4-Jul-16,6-Jul-16,12-Jul-16,0.1214732752,0.5772231726,n
114,114,-90.75,41.25,lat41.25lon-90.75,1.5-degree,geo,5-Jul-16,11-Jul-16,16-Jul-16,0.3715724207,0.5490980006,n
115,115,-89.25,41.25,lat41.25lon-89.25,1.5-degree,geo,8-Jul-16,11-Jul-16,16-Jul-16,0.4969720538,0.5385404108,n
116,116,-87.75,41.25,lat41.25lon-87.75,1.5-degree,geo,ERROR,,,0.6225468606,0.5303246588,n
117,117,-86.25,41.25,lat41.25lon-86.25,1.5-degree,geo,12-Jul-16,15-Jul-16,23-Jul-16,0.7482531111,0.5244536054,n
118,118,-83.25,41.25,lat41.25lon-83.25,1.5-degree,geo,ERROR,,,0.9998848098,0.5197529557,n
119,119,-81.75,41.25,lat41.25lon-81.75,1.5-degree,geo,11-Jul-16,15-Jul-16,22-Jul-16,1.1257226301,0.5209249963,n
120,120,-80.25,41.25,lat41.25lon-80.25,1.5-degree,geo,10-Jul-16,13-Jul-16,23-Jul-16,1.2515166689,0.524445009,n
121,121,-78.75,41.25,lat41.25lon-78.75,1.5-degree,geo,11-Jul-16,13-Jul-16,23-Jul-16,1.3772231199,0.5303117678,n
122,122,-75.75,41.25,lat41.25lon-75.75,1.5-degree,geo,11-Jul-16,15-Jul-16,23-Jul-16,1.628198201,0.5490765356,n
123,123,-74.25,41.25,lat41.25lon-74.25,1.5-degree,geo,11-Jul-16,15-Jul-16,23-Jul-16,1.753379432,0.5619680099,n
124,124,-98.25,44.25,lat44.25lon-98.25,1.5-degree,geo,11-Jul-16,19-Jul-16,27-Jul-16,-0.1894066359,0.9644869325,n
125,125,-96.75,44.25,lat44.25lon-96.75,1.5-degree,geo,12-Jul-16,19-Jul-16,27-Jul-16,-0.0716606229,0.9433889574,n
126,126,-95.25,44.25,lat44.25lon-95.25,1.5-degree,geo,12-Jul-16,18-Jul-16,26-Jul-16,0.0464585835,0.9244918361,y
127,127,-93.75,44.25,lat44.25lon-93.75,1.5-degree,geo,10-Jul-16,15-Jul-16,26-Jul-16,0.1649098498,0.9078021494,y
128,128,-90.75,44.25,lat44.25lon-90.75,1.5-degree,geo,15-Jul-16,29-Jul-16,7-Aug-16,0.4026434635,0.8810675568,y
129,129,-89.25,44.25,lat44.25lon-89.25,1.5-degree,geo,19-Jul-16,29-Jul-16,5-Aug-16,0.5218430228,0.8710319609,y
130,130,-87.75,44.25,lat44.25lon-87.75,1.5-degree,geo,ERROR,,,0.6412090948,0.8632224163,y
131,131,-86.25,44.25,lat44.25lon-86.25,1.5-degree,geo,23-Jul-16,29-Jul-16,5-Aug-16,0.7607001116,0.8576416426,y
132,132,-80.25,44.25,lat44.25lon-80.25,1.5-degree,geo,24-Jul-16,28-Jul-16,4-Aug-16,1.2390810511,0.8576334712,n
133,133,-75.75,44.25,lat44.25lon-75.75,1.5-degree,geo,24-Jul-16,28-Jul-16,2-Aug-16,1.5971384993,0.8810471531,n
134,134,-74.25,44.25,lat44.25lon-74.25,1.5-degree,geo,25-Jul-16,27-Jul-16,4-Aug-16,1.7161304548,0.8933012404,n
135,135,-72.75,44.25,lat44.25lon-72.75,1.5-degree,geo,25-Jul-16,27-Jul-16,4-Aug-16,1.8348730261,0.9077736241,n
136,136,-71.25,44.25,lat44.25lon-71.25,1.5-degree,geo,25-Jul-16,27-Jul-16,4-Aug-16,1.9533248625,0.9244592642,n
