"lon","lat","latlon","umw","x","y","sand.t","sand.s","clay.t","clay.s","depth","tair.yr.set","tair.jja.set","precip.yr.set","precip.jja.set","tair.yr.cru","tair.jja.cru","precip.yr.cru","precip.jja.cru","awc.t","awc.s","whc.t","whc.s","whc.tot","domain.paleon"
-99.75,45.75,"lat45.75lon-99.75","n",-0.2726984156,1.1512546618,38,35,25,28,152,277.302342759952,292.174780801313,1.25635090260147e-05,2.28245582376124e-05,277.655281263064,292.082161758313,1.29322857988055e-05,2.48530154995699e-05,3.64849539258143,3.68991178415749,109.454861777443,450.169237667214,559.624099444657,NA
-99.75,46.25,"lat46.25lon-99.75",NA,NA,NA,44.4956245422363,42.1045875549316,22.7671298980713,25.1581649780273,152,276.748060792233,291.712599210118,1.24531845347709e-05,2.18823045288267e-05,277.087800969097,291.526764905467,1.32530746140903e-05,2.51237154135376e-05,3.74623393637887,3.86867771941889,112.387018091366,471.978681769104,584.36569986047,NA
-99.75,46.75,"lat46.75lon-99.75",NA,NA,NA,52.9825897216797,52.6255340576172,18.5075435638428,20.4326877593994,152,276.278455747493,291.226057490221,1.2952510985844e-05,2.2711155601113e-05,276.532803837194,291.100454693775,1.3499408692563e-05,2.48849525237324e-05,3.43620814291807,3.71231592505083,103.086244287542,452.902542856201,555.988787143743,NA
-99.75,47.25,"lat47.25lon-99.75","n",-0.2386507241,1.3147676735,55.8983039855957,65.810173034668,16.0338973999023,15.5711860656738,152,276.109861188317,291.135078412214,1.29382289138101e-05,2.25964851549022e-05,276.230935371665,291.024082178642,1.39577513315212e-05,2.53584399171337e-05,3.03810908103832,2.92125277168209,91.1432724311497,356.392838145215,447.536110576365,NA
-99.75,47.75,"lat47.75lon-99.75","n",-0.2273039475,1.3692602262,45,46,14,13,152,275.78522994727,290.854570999644,1.36378871084819e-05,2.35302974242717e-05,275.646848924005,290.317638811775,1.48450995841745e-05,2.6758662163856e-05,2.60076390310827,2.42595102061551,78.022917093248,295.966024515093,373.988941608341,NA
-99.75,48.25,"lat48.25lon-99.75",NA,NA,NA,48.9305419921875,44.4351234436035,16.3332862854004,18.2207546234131,152,275.165882008601,290.161557208978,1.46652693904265e-05,2.54798062359162e-05,275.053567263067,289.782630564189,1.62871305440429e-05,2.87098847781843e-05,3.0341672216733,3.2215058367736,91.0250166501989,393.023712086379,484.048728736578,NA
-99.75,48.75,"lat48.75lon-99.75","n",-0.2046197671,1.4782003186,47.7899208068848,43.7244071960449,20.387523651123,25.5251903533936,152,275.06483204474,290.258257323352,1.39922164223722e-05,2.50072662397567e-05,275.054227200056,290.064487515248,1.55285356058585e-05,2.76855286964558e-05,3.58675344307376,3.97730216049754,107.602603292213,485.2308635807,592.833466872913,NA
-99.75,49.25,"lat49.25lon-99.75",NA,NA,NA,34.5275573730469,35.5238952636719,25.9340877532959,28.5824451446533,135.023727416992,274.946675420692,290.324017251036,1.28739983247904e-05,2.35123814499652e-05,275.093870955508,290.375341551039,1.42272045520834e-05,2.53351528041543e-05,3.52087988531955,3.76140531028348,105.626396559587,395.036806012039,500.663202571626,NA
-99.75,49.75,"lat49.75lon-99.75",NA,NA,NA,74.3712463378906,80.2720794677734,12.2288475036621,8.79388236999512,100,273.346477913463,288.46344173763,1.28915158236626e-05,2.38724184462113e-05,273.553334897492,288.622877929396,1.47175920737036e-05,2.65138870665654e-05,1.92837450998029,0.79831778726801,57.8512352994088,55.8822451087607,113.733480408169,NA
-99.25,35.25,"lat35.25lon-99.25",NA,NA,NA,21.6566772460938,28.1055316925049,19.881950378418,26.0167713165283,140.254089355469,288.609756520176,300.413774865338,1.6847732594396e-05,2.12391019008028e-05,289.237973861881,300.505308597433,1.85943241336444e-05,2.45643820856719e-05,2.29809033685324,3.10752126807537,68.9427101055972,342.616927564402,411.559637669999,NA
-99.25,35.75,"lat35.75lon-99.25",NA,NA,NA,42,42,21,20,165,287.899779981864,299.8016633983,1.59967416868168e-05,2.03351438034314e-05,288.198818603719,299.464237642641,1.76419121847594e-05,2.59596218209605e-05,3.46777656240731,3.36043342140167,104.033296872219,453.658511889225,557.691808761445,NA
-99.25,36.25,"lat36.25lon-99.25",NA,NA,NA,67.5449066162109,64.064826965332,10.2910814285278,12.8751192092896,150.246154785156,288.110048477493,300.510060850933,1.70572645273801e-05,2.32426927116119e-05,288.280381283366,300.031824981161,1.81716625052014e-05,2.79507122597251e-05,1.50778774353983,2.28537115981341,45.2336323061949,274.807094224456,320.040726530651,NA
-99.25,36.75,"lat36.75lon-99.25",NA,NA,NA,42,42,21,20,165,286.971447965055,299.669728849227,1.6629201247377e-05,2.49745872521628e-05,287.318821131319,299.340112597831,1.74703292027221e-05,2.80929317320739e-05,3.46777656240731,3.36043342140167,104.033296872219,453.658511889225,557.691808761445,NA
-99.25,37.25,"lat37.25lon-99.25",NA,NA,NA,25.1990718841553,21.8889007568359,23.4001331329346,28.1104354858398,170.073883056641,285.883284992617,298.824314489759,1.56572776162001e-05,2.60618573570755e-05,286.199566788717,298.265737659997,1.6769157110002e-05,2.88555429369625e-05,2.75116865171952,2.73820687673352,82.5350595515855,383.55126983646,466.086329388045,NA
-99.25,37.75,"lat37.75lon-99.25",NA,NA,NA,48.7192077636719,43.2578277587891,16.9227561950684,26.7432155609131,152,285.171363208532,298.385540257014,1.50734948342835e-05,2.72198091354431e-05,285.358549915804,297.537671612428,1.63662456147707e-05,2.9552359564327e-05,3.12466978038444,4.06080276405606,93.7400934115334,495.417937214839,589.158030626373,NA
-99.25,38.25,"lat38.25lon-99.25",NA,NA,NA,21,12,24,35,152,284.656087300926,297.942923402904,1.49079823504429e-05,2.74224009027619e-05,284.760074179792,297.338696371008,1.72800867036377e-05,3.21445877728726e-05,2.46780075687233,2.08222409392166,74.0340227061698,254.031339458442,328.065362164612,NA
-99.25,38.75,"lat38.75lon-99.25",NA,NA,NA,21.4776744842529,12.9553480148315,24.3184490203857,34.6815490722656,156.458297729492,284.246876458439,297.605444036799,1.54676533669447e-05,2.77809426435105e-05,284.351170926725,297.166894785472,1.6266502874856e-05,2.93944035435765e-05,2.5215593928798,2.16975685339698,75.6467817863939,274.383758167481,350.030539953875,NA
-99.25,39.25,"lat39.25lon-99.25",NA,NA,NA,36.8158111572266,36.3297920227051,21.3240127563477,21.3240127563477,63.1726303100586,283.928569350728,297.525142057782,1.61491859692827e-05,2.7837175190198e-05,284.095218163676,297.109897855351,1.55263802475711e-05,2.71309291954656e-05,3.28138302245605,3.25861897551234,98.4414906736816,108.096962596013,206.538453269694,NA
-99.25,39.75,"lat39.75lon-99.25",NA,NA,NA,12.8514280319214,8.18453884124756,22.9914646148682,27.070104598999,152,283.401999438364,296.636876935568,1.75080912721535e-05,3.09146752835813e-05,284.071333065624,296.772530289881,1.90859229589388e-05,3.38220884790638e-05,1.71554601634085,1.39512431786291,51.4663804902256,170.205166779276,221.671547269501,NA
-99.25,40.25,"lat40.25lon-99.25",NA,NA,NA,11,9,20,25,152,282.654868283874,295.862452610248,1.73313796562136e-05,3.05557737523786e-05,283.218709484469,295.999330817693,2.00565248004941e-05,3.57817929170486e-05,1.42098534143407,1.40776866898282,42.6295602430222,171.747777615904,214.377337858926,NA
-99.25,40.75,"lat40.75lon-99.25",NA,NA,NA,18.1864414215088,17.5254230499268,18.3220348358154,17.1525421142578,152,281.603841322485,294.937795450756,1.69953245303744e-05,3.03704391830543e-05,281.973133867741,295.179847066189,1.91643751079865e-05,3.43692244911237e-05,1.95860126879051,1.8465614964587,58.7580380637153,225.280502567962,284.038540631677,NA
-99.25,41.25,"lat41.25lon-99.25",NA,NA,NA,11,11,21,21,152,280.931648011405,294.334544073152,1.68034288074147e-05,3.02050807174567e-05,281.546733021018,294.612451185365,2.0598130309884e-05,3.63825520954755e-05,1.46011471189745,1.46011471189745,43.8034413569236,178.133994851489,221.937436208413,NA
-99.25,41.75,"lat41.75lon-99.25",NA,NA,NA,47.0203399658203,47.0203399658203,13.7101697921753,13.7101697921753,152,280.611939177156,294.218013879405,1.65202683697642e-05,2.94527864191007e-05,281.008803103414,294.239323279633,2.17159934003487e-05,3.72146730420042e-05,2.5634566548304,2.5634566548304,76.9036996449119,312.741711889308,389.64541153422,NA
-99.25,42.25,"lat42.25lon-99.25",NA,NA,NA,89.4351654052734,94.3342590332031,4.2568998336792,4,152,280.804669690471,294.714616200104,1.5766969130201e-05,2.79759137967864e-05,281.119586473622,294.611605211848,1.70269906774609e-05,2.82915799103203e-05,0.00506293909750754,0.001072876618912,0.151888172925226,0.130890947507264,0.28277912043249,NA
-99.25,42.75,"lat42.75lon-99.25",NA,NA,NA,87.0756454467773,94.4782028198242,4.55762720108032,4,152,280.660809535059,294.750089800263,1.51684948160882e-05,2.58628689497515e-05,280.777676868238,294.526339677836,1.65715776056875e-05,2.92149323971072e-05,0.013954558232433,0.00104828107211245,0.41863674697299,0.127890290797719,0.546527037770709,NA
-99.25,43.25,"lat43.25lon-99.25",NA,NA,NA,23.9276123046875,29.2952117919922,27.7416324615479,31.1173076629639,152,280.604610330832,294.985624173973,1.40553875493488e-05,2.41920355016515e-05,280.475478200735,294.437962696891,1.46820045648519e-05,2.63973865056414e-05,2.88666148536398,3.4767596999764,86.5998445609195,424.164683397121,510.76452795804,NA
-99.25,43.75,"lat43.75lon-99.25",NA,NA,NA,9.05114841461182,9.05114841461182,39.9478073120117,42.3068885803223,141.744262695312,279.959146939609,294.44108846242,1.33474688802704e-05,2.43382298287322e-05,279.634766511415,293.615492781955,1.32003390755424e-05,2.38473467781233e-05,1.93948789364109,2.02117555033187,58.1846368092326,225.854771649628,284.03940845886,NA
-99.25,44.25,"lat44.25lon-99.25",NA,NA,NA,31.7445316314697,30.3800621032715,34.7780342102051,35.6985664367676,152,279.360004422451,294.009224037987,1.31345603206819e-05,2.46228859648731e-05,279.318679483231,293.541580658324,1.37155146011693e-05,2.3854489512905e-05,3.85588887201897,3.79605991355025,115.676666160569,463.11930945313,578.795975613699,NA
-99.25,44.75,"lat44.75lon-99.25",NA,NA,NA,36.1075668334961,34.7231063842773,27.8924312591553,27.8306770324707,152,278.644874259321,293.253015100258,1.33239879126269e-05,2.49130778283713e-05,278.75463684477,293.081313180867,1.375273026615e-05,2.40008143238945e-05,3.75169496927569,3.66124898047078,112.550849078271,446.672375617435,559.223224695706,NA
-99.25,45.25,"lat45.25lon-99.25",NA,NA,NA,38,35,25,28,152,278.013714116004,292.719837192635,1.32792519554559e-05,2.43188375487477e-05,278.277982920015,292.60945880302,1.44750927577623e-05,2.69115646497605e-05,3.64849539258143,3.68991178415749,109.454861777443,450.169237667214,559.624099444657,NA
-99.25,45.75,"lat45.75lon-99.25",NA,NA,NA,38,35,25,28,152,277.153109338083,291.987476190541,1.31517904152765e-05,2.3595369518551e-05,277.372514992601,291.801690367376,1.57031363443099e-05,2.98250604156232e-05,3.64849539258143,3.68991178415749,109.454861777443,450.169237667214,559.624099444657,NA
-99.25,46.25,"lat46.25lon-99.25",NA,NA,NA,38.8666610717773,35.8666610717773,23.8444499969482,27.4222240447998,152,276.531637426583,291.486547056077,1.27325020434171e-05,2.20184745924534e-05,276.75885294273,291.163872771816,1.44431624322291e-05,2.61504243720862e-05,3.59856087198841,3.70481531293738,107.956826159652,451.98746817836,559.944294338012,NA
-99.25,46.75,"lat46.75lon-99.25",NA,NA,NA,41,38,21,26,152,276.261465253565,291.264653732071,1.26290192614663e-05,2.23120701896562e-05,276.4040678752,290.989652996815,1.40005135025593e-05,2.56530750330154e-05,3.42938150559523,3.72600182309756,102.881445167857,454.572222417902,557.453667585759,NA
-99.25,47.25,"lat47.25lon-99.25",NA,NA,NA,42.1875381469727,40.3750762939453,18.9218101501465,22.1405029296875,152,276.116199073064,291.20216244156,1.26760041060153e-05,2.32588315018011e-05,276.057575712852,290.722803947239,1.38605390110661e-05,2.57887080941909e-05,3.24405753938382,3.51578936929981,97.3217261815146,428.926303054577,526.248029236092,NA
-99.25,47.75,"lat47.75lon-99.25",NA,NA,NA,45,46,14,12.7111120223999,152,275.746101280994,290.874942846082,1.31378404329633e-05,2.38349466257344e-05,275.769498639622,290.476890643905,1.45619542777501e-05,2.67803768641914e-05,2.60076390310827,2.37049960314273,78.022917093248,289.200951583413,367.223868676661,NA
-99.25,48.25,"lat48.25lon-99.25",NA,NA,NA,30.6340370178223,29.1184577941895,22.1995334625244,24.2306880950928,152,275.152682842125,290.393741580374,1.36040360323557e-05,2.3732951535534e-05,275.305961086937,290.059578983758,1.54379987412275e-05,2.75207186330011e-05,3.02633263299687,3.06822352365488,90.7899789899061,374.323269885896,465.113248875802,NA
-99.25,48.75,"lat48.75lon-99.25",NA,NA,NA,39.8204574584961,28.1688289642334,22.7693119049072,19.820405960083,152,275.033996720817,290.324080038557,1.40846644174678e-05,2.42732696120039e-05,275.272329856841,290.174731892867,1.56985345495484e-05,2.72318747497255e-05,3.54959873604831,2.7115911135056,106.487962081449,330.814115847683,437.302077929132,NA
-99.25,49.25,"lat49.25lon-99.25",NA,NA,NA,50.5264320373535,34.0219841003418,20.0076770782471,16.1266994476318,124.413558959961,275.188184328876,290.335597088094,1.34521031588719e-05,2.43691021619016e-05,275.285536888958,290.531479642314,1.44538821123936e-05,2.53672674982054e-05,3.60689082649928,2.6564301786158,108.206724794979,250.803027291762,359.009752086741,NA
-99.25,49.75,"lat49.75lon-99.25",NA,NA,NA,80.8773651123047,80.5385971069336,8.84905338287354,8.18781852722168,100,274.525466055081,289.680242271351,1.32376468434874e-05,2.35747018671819e-05,274.74449056281,289.962298674498,1.49217112167697e-05,2.59043735735944e-05,0.801355305495843,0.630880508022007,24.0406591648753,44.1616355615405,68.2022947264158,NA
-98.75,35.25,"lat35.25lon-98.75",NA,NA,NA,21.1816387176514,16.1259765625,20.6083984375,28.43359375,179.9580078125,288.353287864896,300.159258228977,1.74384964694718e-05,2.04895488449016e-05,289.041282407428,300.15219828306,1.88376287963737e-05,2.38245798704693e-05,2.30468457451832,2.24251500746111,69.1405372355495,336.283083008502,405.423620244051,NA
-98.75,35.75,"lat35.75lon-98.75",NA,NA,NA,27.7559452056885,27.0565795898438,18.7550868988037,25.9566459655762,168.862350463867,288.178956634861,300.202318563186,1.75518572267946e-05,2.14527822933653e-05,288.523046504452,299.896036001226,1.86996189617001e-05,2.55542313304669e-05,2.60937334565311,3.02947314777765,78.2812003695932,420.679761967575,498.960962337168,NA
-98.75,36.25,"lat36.25lon-98.75",NA,NA,NA,83.3643798828125,84.2059707641602,7.30143308639526,7.78878688812256,186.803817749023,288.011442714839,300.427693899746,1.87946784469951e-05,2.47160750003389e-05,288.219198443227,299.604241528528,1.95046159593693e-05,2.85823430392446e-05,0.373856031593016,0.469593955542828,11.2156809477905,73.6341250209806,84.8498059687711,NA
-98.75,36.75,"lat36.75lon-98.75",NA,NA,NA,58.9952125549316,60.6934471130371,10.5618467330933,14.0475988388062,158.408615112305,287.084915635646,299.760193140635,1.84068871790245e-05,2.65316663549325e-05,287.213960045885,298.698609425717,2.11392391759704e-05,3.41197864593727e-05,1.75156984371263,2.60918808485313,52.547095311379,335.042228543517,387.589323854896,NA
-98.75,37.25,"lat37.25lon-98.75",NA,NA,NA,35.0794486999512,35.1252098083496,23.4753494262695,26.659460067749,172.9775390625,285.964510701852,298.843113224105,1.72558537718829e-05,2.75996085606453e-05,286.125090518821,297.836681803951,1.96654369918254e-05,3.37521470187846e-05,3.37234735139828,3.60724367140797,101.170420541948,515.754822936689,616.925243478637,NA
-98.75,37.75,"lat37.75lon-98.75",NA,NA,NA,52.4795684814453,54.8612785339355,15.0007390975952,20.7251415252686,168.994232177734,285.414827691329,298.494905062718,1.67759439264073e-05,2.86907400719009e-05,285.642910725604,297.827714569201,1.77328571386001e-05,3.1478164046233e-05,2.82938549212545,3.80022631093001,84.8815647637634,528.209538189341,613.091102953104,NA
-98.75,38.25,"lat38.25lon-98.75",NA,NA,NA,54.1181221008301,51.4020729064941,14.0041837692261,21.5622501373291,152,284.972790028462,298.247336242717,1.64246706953221e-05,2.8639067350955e-05,285.116385397983,297.809624173929,1.80525374902482e-05,3.30350625563774e-05,2.63231199066518,3.8332122679729,78.9693597199554,467.651896692694,546.621256412649,NA
-98.75,38.75,"lat38.75lon-98.75",NA,NA,NA,21,12,24,35,152,284.724539126949,298.07011480619,1.69821618370669e-05,2.95658781999629e-05,284.921099895515,297.762936971703,1.67538604560227e-05,3.02479720798916e-05,2.46780075687233,2.08222409392166,74.0340227061698,254.031339458442,328.065362164612,NA
-98.75,39.25,"lat39.25lon-98.75",NA,NA,NA,34.4528617858887,31.2183742523193,22.0781631469727,26.0314254760742,84.0950775146484,284.269393371636,297.735560888121,1.73407615892158e-05,2.96701949525095e-05,284.78677524895,297.822387282213,1.80321615487534e-05,3.23363603720961e-05,3.22881736014727,3.31960272661899,96.8645208044182,179.574166814293,276.438687618711,NA
-98.75,39.75,"lat39.75lon-98.75",NA,NA,NA,21,12,24,35,152,283.423152182565,296.645014962246,1.81515059409707e-05,3.07076916229756e-05,284.289596628622,297.274767478022,2.08076531154869e-05,3.69012070377034e-05,2.46780075687233,2.08222409392166,74.0340227061698,254.031339458442,328.065362164612,NA
-98.75,40.25,"lat40.25lon-98.75",NA,NA,NA,10.9512929916382,10.0004549026489,27.360279083252,28.7454776763916,152,282.643325720313,295.920059605115,1.78327851358988e-05,3.02160513962173e-05,283.56695526832,296.477536330776,2.16547215990068e-05,3.73350901692828e-05,1.69527681988385,1.64734081870806,50.8583045965154,200.975579882383,251.833884478899,NA
-98.75,40.75,"lat40.75lon-98.75",NA,NA,NA,18.4330787658691,17.5254230499268,18.0753955841064,18.3857345581055,152,281.835555667374,295.164022256485,1.73495758036561e-05,3.02126358702543e-05,282.408133386535,295.769307548404,1.99469476568192e-05,3.63434271305168e-05,1.96379798626537,1.91162805350959,58.913939587961,233.218622528171,292.132562116132,NA
-98.75,41.25,"lat41.25lon-98.75",NA,NA,NA,10.5146493911743,7.68547487258911,22.3139820098877,24.373664855957,152,281.161271583251,294.534078377945,1.72965931665023e-05,3.14725855790054e-05,281.817981966723,295.069630839212,2.13450874890917e-05,3.91347325583435e-05,1.46302248521938,1.24648084934508,43.8906745565813,152.0706636201,195.961338176681,NA
