"lon","lat","latlon","umw","x","y","stab.pdsi.ann","stab.pdsi.ann.cent","stab.tair.ann","stab.tair.ann.cent","stab.tair.jja","stab.tair.jja.cent","stab.precip.ann","stab.precip.ann.cent","stab.precip.jja","stab.precip.jja.cent"
-89.75,35.25,"lat35.25lon-89.75","n",0.4016596724,-0.1180922376,10525.1070822439,3.51666449042844e-08,2159.23768469874,2.1824343289281e-09,2642.70313485131,5.99744009659456e-09,2.19397286197366e-07,2.46610903327119e-19,3.03704817389668e-07,5.86910080012621e-20
-84.75,35.25,"lat35.25lon-84.75","n",0.8616815302,-0.1410114604,6740.83677023262,1.47656013225693e-08,2203.00817705352,4.02164106477028e-09,1473.24387076826,4.96621140056715e-09,1.97028974665222e-07,1.07435662626864e-19,3.09066969279179e-07,2.91994159811079e-19
-79.75,35.25,"lat35.25lon-79.75","n",1.322238429,-0.1352892691,8056.88154544495,2.61040392822547e-08,2150.93267707455,4.63000489302445e-09,1298.13357164491,4.86644739623039e-09,1.29409945329745e-07,9.15466091739811e-20,3.54848173256288e-07,1.31537718165083e-19
-99.75,40.25,"lat40.25lon-99.75","n",-0.3973090311,0.5528159377,3518.98599168696,5.32539661927031e-08,3894.32239116711,1.67072371417168e-09,6411.313778778,9.28417615322101e-09,3.84582488145116e-08,9.65831286587524e-20,2.27057410363055e-07,4.89564358179276e-19
-94.75,40.25,"lat40.25lon-94.75","n",0.0225513497,0.4789315282,3240.60205508465,1.05215020473612e-06,4203.67229811312,1.54270814123457e-09,6188.82679412209,8.29434118115504e-09,9.08967075448435e-08,9.73105847905659e-20,4.8637729397442e-07,9.99544939432454e-19
-89.75,40.25,"lat40.25lon-89.75","n",0.4461926791,0.4312904807,6217.74532701107,3.42826102077895e-07,3807.15467872158,1.1267184442878e-09,4959.01869347701,6.00899255755816e-09,8.49600658419092e-08,6.368929435897e-20,3.65497952776958e-07,3.80519299039721e-19
-84.75,40.25,"lat40.25lon-84.75","n",0.8719762355,0.4100770796,6328.11744786015,5.14376041877853e-08,2917.07471437364,9.4543216744992e-10,2709.70713159149,3.18975894073138e-09,6.92630381017004e-08,7.13863068426775e-20,2.61702113646754e-07,1.2626168385909e-19
-79.75,40.25,"lat40.25lon-79.75","n",1.2982550111,0.4153733822,5112.73736815202,1.13178652252327e-08,2806.19567144426,2.11750232794154e-09,2095.46235606542,2.89578130222054e-09,7.13494981689945e-08,4.90535665140779e-20,2.55226022046574e-07,1.41028411122435e-19
-74.75,40.25,"lat40.25lon-74.75","n",1.7233800823,0.4471589013,5715.69718896817,7.47338960774612e-09,2547.32133940074,2.33138705169085e-09,1726.3835198085,2.38914192512049e-09,1.54278207484258e-07,1.4823193014915e-19,5.08596076816536e-07,3.7373078863303e-19
-99.75,45.25,"lat45.25lon-99.75","n",-0.2840470913,1.0967529888,3570.50619470006,1.15015726339997e-08,6239.58593780661,5.1873307313738e-09,5316.02234003301,7.11829963262626e-09,2.59478461074037e-08,9.99109100854296e-21,1.44306693981981e-07,6.14362846965911e-20
