"lon","lat","latlon","umw","x","y","domain.paleon","pc.all1","pc.all2","pc.setveg1","pc.setveg2","pc.setveg.mod1","pc.setveg.mod2","pc.umw1","pc.umw2","pc.umw.mod1","pc.umw.mod2"
-99.25,49.25,"lat49.25lon-99.25",NA,NA,NA,NA,0.59995909442161,-2.937876273864,NA,NA,NA,NA,NA,NA,NA,NA
-99.25,49.75,"lat49.75lon-99.25",NA,NA,NA,NA,1.76369946139331,-2.78135947583314,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,35.25,"lat35.25lon-98.75",NA,NA,NA,NA,-2.4073946584449,-3.04494354938391,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,35.75,"lat35.75lon-98.75",NA,NA,NA,NA,-2.49688449318942,-2.9311891977354,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,36.25,"lat36.25lon-98.75",NA,NA,NA,NA,-1.76140616969344,-2.1280415810022,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,36.75,"lat36.75lon-98.75",NA,NA,NA,NA,-1.99131066391162,-2.04386173855708,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,37.25,"lat37.25lon-98.75",NA,NA,NA,NA,-2.22488859059443,-2.16311688957743,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,37.75,"lat37.75lon-98.75",NA,NA,NA,NA,-1.89722471191045,-2.00131578472043,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,38.25,"lat38.25lon-98.75",NA,NA,NA,NA,-1.7236427761911,-2.02327327912288,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,38.75,"lat38.75lon-98.75",NA,NA,NA,NA,-1.61332887512654,-1.81787304527369,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,39.25,"lat39.25lon-98.75",NA,NA,NA,NA,-1.76530547145222,-1.83976273785311,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,39.75,"lat39.75lon-98.75",NA,NA,NA,NA,-1.2227378159774,-1.51761595501308,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,40.25,"lat40.25lon-98.75",NA,NA,NA,NA,-0.728295914093036,-1.53260717843847,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,40.75,"lat40.75lon-98.75",NA,NA,NA,NA,-0.579004874443878,-1.59960969066886,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,41.25,"lat41.25lon-98.75",NA,NA,NA,NA,-0.209692627497171,-1.36938800342565,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,41.75,"lat41.75lon-98.75",NA,NA,NA,NA,0.121265514424969,-1.39758057569757,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,42.25,"lat42.25lon-98.75",NA,NA,NA,NA,0.253946565998354,-1.73617184664769,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,42.75,"lat42.75lon-98.75",NA,NA,NA,NA,-0.51404325874666,-2.36624156646163,NA,NA,NA,NA,NA,NA,NA,NA
-98.75,43.25,"lat43.25lon-98.75",NA,NA,NA,NA,-0.152345678409798,-2.593140947385,NA,NA,NA,NA,NA,NA,NA,NA
